"CONTROL","TOTROOMS","PERPOVLVL","NOISE","DISHWASH","SOLAR","GARAGE","DINING","LAUNDY","NOSTEP","CONDO","RATINGHS","RATINGNH","NHQPCRIME","NHQPUBTRN","NHQRISK","NHQSCHOOL","NHQSCRIME","NOWIRE","TENURE","CELLPHONE","LANDLINE","PLUGS","SOGIRESP","PORCH","LEAKO","LEAKI","NOTOIL","PAINTPEEL","NEARABAND","NEARBARCL","NEARTRASH","INTLANG","OMB13CBSA","HHSEX","HHMAR","HHSPAN","HHCITSHP","MILHH","HHMOVE","HHRACE","HHGRAD","HHNATVTY","PARTNER","SAMESEXHH","HSHLDTYPE","NUMELDERS","NUMADULTS","NUMNONREL","HHYNGKIDS","HHOLDKIDS","NUMVETS","NUMYNGKIDS","NUMOLDKIDS","NUMSUBFAM","NUMSECFAM","NUMPEOPLE","HHADLTKIDS","GRANDHH","MULTIGEN","SAMEHHLD","HHFNTVTY","HHMNTVTY","HHPRNTHOME","HHGEN","HHSOGILGBT","HHSOGISO","HHSOGIG","UFINROOMS","STORIES","LOTSIZE","FINROOMS","YRBUILT","HOA","FOUNDTYPE","UNITFLOORS","UNITSIZE","BEDROOMS","KITCHENS","MONOXIDE","SMOKALRM","SPRNKSYSTM","WATSOURCE","FRIDGE","KITCHSINK","WASHER","COOKTYPE","COOKFUEL","DRYER","SEWTYPE","BATHROOMS","HOTWATER","HEATFUEL","FIREPLACE","ACPRIMARY","ACSECNDRY","HEATTYPE","SUPP1HEAT","SUPP2HEAT","HOT","COLD","NOWAT","WALLCRACK","FLOORHOLE","FNDCRUMB","ROOFSHIN","ROOFHOLE","ROOFSAG","WALLSIDE","WALLSLOPE","WINBOARD","WINBROKE","WINBARS","MOLDKITCH","MOLDBATH","MOLDBEDRM","MOLDBASEM","MOLDLROOM","MOLDOTHER","RODENT","ROACH","SEWBREAK","FUSEBLOW","ELECAMT","GASAMT","OILAMT","OTHERAMT","TRASHAMT","WATERAMT","UTILAMT","HHSEE","HHMEMRY","HHCARE","HHERRND","HHLDASTHMA","NUMASTHMAST","HHLDASTHMAER","ADEQUACY","POVLVLINC","UPKEEP","INSURAMT","HINCP","FINCP","TOTHCAMT","Class"
21000180,7,501,2,1,2,1,1,0,1,2,9,9,2,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,3,3,3,1,35380,2,1,2,1,6,2003,1,45,57,0,2,1,1,2,0,0,0,0,0,0,0,0,2,0,2,1,1,57,57,2,3,3,6,7,0,1,5,2,1980,1,4,1,8,3,1,2,1,2,2,1,1,1,1,2,1,2,3,2,2,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,6,5,180,90,0,0,40,3,310,2,2,2,2,2,1,2,1,20019,1,86,106600,106600,1592,"No"
21000182,7,501,2,1,2,1,1,0,1,2,10,8,2,2,2,1,2,1,1,3,2,1,1,1,2,2,2,2,3,3,2,1,35380,2,1,2,1,6,2018,1,44,57,0,2,1,0,3,0,0,0,0,0,0,0,0,3,0,2,1,2,57,57,NA,3,2,1,3,0,1,5,1,1990,2,4,1,5,4,1,1,1,2,1,1,1,1,1,2,2,1,3,2,2,1,1,12,1,14,14,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,6,5,60,210,0,0,10,2,280,2,2,2,2,2,1,2,1,23384,1,89,448840,448840,1626,"No"
21000220,5,465,2,1,2,1,0,0,1,2,10,10,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,3,1,35380,2,1,2,1,6,2019,1,44,57,0,2,1,0,2,0,0,1,0,0,1,0,0,3,0,2,2,1,57,57,1,3,2,1,1,0,1,2,1,1980,1,4,1,5,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,4,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,60,0,0,0,30,80,170,2,2,2,2,2,1,2,1,24063,1,160,112000,112000,1508,"No"
21000224,7,422,2,1,2,1,1,1,1,2,9,9,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,3,3,3,1,35380,2,1,2,1,2,2005,1,39,57,0,2,1,2,2,0,0,0,1,0,0,0,0,2,0,2,1,1,57,57,2,3,2,1,3,0,1,1,1,2000,1,4,1,6,4,1,1,1,2,1,1,1,1,1,2,1,1,4,1,2,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,230,60,0,0,60,2,350,2,2,2,2,2,1,2,1,18010,1,195,76000,76000,990,"No"
21000239,7,123,2,1,2,1,1,0,1,2,10,10,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,2014,2,38,57,0,2,1,0,4,0,0,2,0,0,2,0,0,6,2,2,2,1,57,57,3,3,2,1,1,0,1,1,1,1980,1,4,1,6,4,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,4,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,280,0,0,0,140,140,560,2,2,2,2,2,1,2,1,42158,1,0,52000,52000,1760,"No"
21000243,10,272,2,1,2,1,1,1,1,2,10,10,2,2,2,1,2,1,1,NA,NA,1,1,1,2,2,2,2,3,3,3,1,35380,2,4,2,1,6,2014,2,40,57,0,2,6,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,57,57,2,3,2,1,3,0,1,5,3,1960,2,4,1,7,5,1,1,1,2,1,1,1,1,1,1,1,1,5,2,2,1,1,6,1,3,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,4,6,5,230,210,0,0,60,2,500,2,2,2,2,1,2,2,1,14338,1,0,39000,39000,652,"Yes"
21000246,7,364,2,1,2,1,1,1,1,2,9,9,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,3,3,3,1,35380,1,4,2,1,6,1999,1,40,57,0,2,2,0,1,0,0,1,0,0,1,0,0,2,0,2,2,1,57,57,1,3,2,1,1,0,1,2,1,1980,1,4,1,6,4,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,12,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,80,0,0,0,50,100,230,2,2,2,2,2,1,2,1,20606,1,120,75000,75000,1778,"No"
21000249,9,501,1,1,2,1,1,1,1,2,10,8,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,3,3,2,1,35380,2,1,2,1,6,2006,1,45,57,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,1,57,57,1,3,2,1,3,0,2,4,3,2000,2,4,2,7,4,1,1,1,2,2,1,1,1,1,1,1,2,4,2,2,2,1,1,1,7,14,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,3,1,5,100,50,0,0,30,3,180,2,2,2,2,2,1,2,1,20019,1,359,143000,143000,715,"No"
21000252,7,448,2,1,2,1,1,0,1,2,8,8,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,2019,2,44,57,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,4,57,57,1,3,2,1,1,0,2,5,1,1990,1,4,2,6,4,1,1,1,2,1,1,1,1,1,2,1,1,4,2,2,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,110,50,0,0,30,2,190,2,2,2,2,2,1,2,1,20068,1,104,90000,90000,1154,"No"
21000254,7,501,2,1,2,1,1,0,1,2,9,9,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,1994,1,44,57,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,3,57,57,1,3,2,1,1,0,1,2,1,1990,1,4,1,7,4,1,1,1,2,1,1,1,1,1,2,1,1,3,2,2,2,1,12,1,14,14,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,100,90,0,0,30,100,320,2,2,2,2,2,1,2,1,20068,1,279,330000,330000,966,"No"
